"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.183678750E-1,-8.577671673E-1,-1.308185863E0,-5.066304799E0,5.302316389E0
6.283678750E-1,-7.812838324E-1,-1.214245666E0,-4.904913461E0,5.113019952E0
6.383678750E-1,-6.664418127E-1,-1.193437765E0,-4.886264352E0,5.073856295E0
6.483668750E-1,-4.532289411E-1,-1.069109588E0,-5.035435009E0,5.167593010E0
6.583668750E-1,-3.959597030E-1,-9.616833723E-1,-5.210563211E0,5.313340566E0
6.683668750E-1,-3.045149513E-1,-8.800790459E-1,-5.320692594E0,5.401577377E0
6.783658750E-1,-3.499367072E-1,-8.276540798E-1,-5.389144778E0,5.463547237E0
6.883658750E-1,-5.685959677E-1,-7.492873567E-1,-5.573326224E0,5.652141021E0
6.983658750E-1,-7.038663317E-1,-6.998070484E-1,-5.766184353E0,5.850986217E0
7.083648750E-1,-8.228299807E-1,-7.261341369E-1,-5.919983082E0,6.020840444E0
7.183648750E-1,-8.083932053E-1,-8.413342255E-1,-5.980174904E0,6.092933180E0
7.283638750E-1,-5.814308985E-1,-9.553789043E-1,-6.006380371E0,6.109616674E0
7.383638750E-1,-2.787442254E-1,-1.139762664E0,-6.054791223E0,6.167434964E0
7.483638750E-1,-2.069757197E-1,-1.325047479E0,-6.079299828E0,6.225469956E0
7.583628750E-1,-1.907254303E-1,-1.377742587E0,-6.193076119E0,6.347341384E0
7.683628750E-1,-1.910256848E-1,-1.455307072E0,-6.396270372E0,6.562521174E0
7.783628750E-1,-3.908594692E-1,-1.472156408E0,-6.499220544E0,6.675318965E0
7.883618750E-1,-6.171081964E-1,-1.320904727E0,-6.334316198E0,6.499936425E0
7.983618750E-1,-6.964746471E-1,-1.220898628E0,-5.859421715E0,6.025652930E0
8.083618750E-1,-7.009081522E-1,-1.154334510E0,-5.230392289E0,5.401922240E0
8.183608750E-1,-8.800806539E-1,-1.153890706E0,-4.648883184E0,4.870125314E0
8.283608750E-1,-1.058282445E0,-1.092605454E0,-4.189653976E0,4.457235561E0
8.383608750E-1,-1.254963922E0,-1.010022889E0,-3.788569481E0,4.116836090E0
8.483598750E-1,-1.569394143E0,-1.094699050E0,-3.469613222E0,3.962269539E0
8.583598750E-1,-1.675515552E0,-1.180144120E0,-3.209012761E0,3.807604944E0
8.683598750E-1,-1.756559277E0,-1.256980042E0,-3.083981749E0,3.765161716E0
8.783588750E-1,-1.688613169E0,-1.296256374E0,-3.110198910E0,3.768956391E0
8.883588750E-1,-1.537185340E0,-1.354471253E0,-3.122699672E0,3.734807142E0
8.983588750E-1,-1.242937369E0,-1.469987676E0,-2.876593289E0,3.461292536E0
9.083578750E-1,-8.360677846E-1,-1.448177269E0,-2.778326737E0,3.242734371E0
9.183578750E-1,-7.694533072E-1,-1.422504484E0,-3.152122861E0,3.542803400E0
9.283578750E-1,-9.641579139E-1,-1.348674908E0,-3.640961784E0,4.000640849E0
9.383568750E-1,-1.076533286E0,-1.033580444E0,-4.192523205E0,4.450220587E0
9.483568750E-1,-1.108836302E0,-1.171326811E0,-4.528389026E0,4.807060600E0
9.583568750E-1,-5.881521267E-1,-1.521986380E0,-4.217087358E0,4.521746482E0
9.683558750E-1,3.238777866E-1,-1.709251648E0,-3.361760745E0,3.785217738E0
9.783558750E-1,1.092099670E0,-2.115297213E0,-2.534241736E0,3.477002325E0
9.883558750E-1,1.749401408E0,-2.330133272E0,-1.780388873E0,3.414631882E0
9.983548750E-1,1.957406895E0,-2.377857661E0,-1.244050679E0,3.321642801E0
1.008354875E0,8.797602265E-1,-2.291074456E0,-1.143462197E0,2.707490723E0
1.018354875E0,-7.192467016E-1,-1.940891142E0,-1.638852341E0,2.640115762E0
1.028353875E0,-1.624338236E0,-1.758753737E0,-1.970877711E0,3.100975389E0
1.038353875E0,-1.689579275E0,-1.159685005E0,-1.849729249E0,2.760624157E0
1.048352875E0,-1.381398851E0,-1.261333440E0,-1.535518591E0,2.420132677E0
1.058352875E0,-6.703013404E-1,-1.839775534E0,-1.127273596E0,2.259385683E0
1.068352875E0,3.411814519E-1,-2.188258624E0,-3.888170367E-1,2.248568272E0
1.078351875E0,1.059730361E0,-2.251278598E0,6.692547619E-1,2.576661736E0
1.088351875E0,6.809236848E-1,-1.938063429E0,1.718621226E0,2.678321459E0
1.098351875E0,-2.607139339E-1,-1.314954893E0,2.534586722E0,2.867264894E0
1.108350875E0,-1.102878574E0,-1.248829608E0,2.958983481E0,3.395806204E0
1.118350875E0,-1.486100848E0,-1.395754642E0,3.230680203E0,3.820199122E0
1.128350875E0,-1.510591619E0,-1.440849393E0,3.626499866E0,4.184427713E0
1.138349875E0,-1.188018054E0,-1.630674863E0,4.256907481E0,4.710811895E0
1.148349875E0,-7.328175775E-1,-1.624711288E0,4.945125348E0,5.256517200E0
1.158349875E0,-2.328308648E-1,-1.272340677E0,5.422905432E0,5.575030434E0
1.168348875E0,-9.072459407E-2,-1.004761053E0,5.611993861E0,5.701951492E0
1.178348875E0,-1.475905205E-1,-7.679520345E-1,5.544943255E0,5.599815085E0
1.188348875E0,-9.979369864E-3,-4.947739200E-1,5.302613588E0,5.325655986E0
1.198347875E0,5.945412330E-2,-3.552972883E-1,5.234806352E0,5.247186722E0
1.208347875E0,5.250324570E-2,-3.258192815E-1,5.581621084E0,5.591369128E0
1.218347875E0,2.353755730E-1,-3.261410245E-1,6.297834835E0,6.310665039E0
1.228346875E0,1.997651526E-1,-3.084172368E-1,7.212376201E0,7.221730940E0
1.238346875E0,3.062121056E-2,-2.384263578E-1,8.021737851E0,8.025338805E0
1.248346875E0,-1.080927980E-1,-8.017614394E-2,8.448927825E0,8.449999625E0
1.258345875E0,-1.866051167E-1,5.026646644E-2,8.721591677E0,8.723732548E0
1.268345875E0,-3.157078376E-1,1.807875757E-1,9.097956483E0,9.105227496E0
1.278346583E0,-3.702527849E-1,2.878248051E-1,9.555911583E0,9.567412211E0
1.288345583E0,-3.482223035E-1,3.874672070E-1,1.000161793E1,1.001517603E1
1.298345583E0,-5.032049471E-1,3.842905609E-1,1.037779154E1,1.039708861E1
1.308345583E0,-7.186289433E-1,4.276741236E-1,1.052772467E1,1.056088630E1
1.318344583E0,-1.041039444E0,3.679249352E-1,1.038253831E1,1.044108393E1
1.328344583E0,-1.264869105E0,2.642691506E-1,1.002206565E1,1.010502508E1
1.338344583E0,-1.340058159E0,2.239214623E-1,9.683801299E0,9.778645319E0
1.348343583E0,-1.337011467E0,9.320300952E-2,9.316431264E0,9.412341790E0
1.358343583E0,-1.184795580E0,-1.089681262E-1,8.885278047E0,8.964584798E0
1.368343583E0,-9.903576793E-1,-2.508970070E-1,8.439109765E0,8.500725338E0
1.378342583E0,-9.929901689E-1,-3.515278807E-1,7.883899097E0,7.953959159E0
1.388342583E0,-1.121836416E0,-4.640554994E-1,7.086448225E0,7.189687956E0
1.398341583E0,-1.118806389E0,-5.530395967E-1,6.322029444E0,6.444038859E0
1.408341583E0,-1.051292537E0,-6.736762071E-1,5.708777559E0,5.843731415E0
1.418341583E0,-9.756324899E-1,-8.579244574E-1,5.132005869E0,5.293900015E0
1.428340583E0,-6.240299841E-1,-1.085297312E0,4.656153027E0,4.821518919E0
1.438340583E0,-2.569815831E-1,-1.324999824E0,4.236615888E0,4.446411841E0
1.448340583E0,-6.004909577E-2,-1.534670891E0,3.765682894E0,4.066840087E0
1.458339583E0,-2.765217718E-2,-1.611913780E0,3.168430746E0,3.554994243E0
1.468339583E0,-2.294654815E-1,-1.619749633E0,2.565478731E0,3.042683750E0
1.478339583E0,-5.070120327E-1,-1.652323448E0,2.152463577E0,2.760495142E0
1.488338583E0,-4.415107920E-1,-1.844950466E0,2.036342552E0,2.783067551E0
1.498338583E0,-9.684834648E-3,-2.058929177E0,2.093075162E0,2.936025679E0
1.508338583E0,3.656771924E-1,-2.106265457E0,1.914235148E0,2.869559232E0
1.518337583E0,2.284659548E-1,-2.184831132E0,1.699599649E0,2.777466964E0
1.528337583E0,6.759381294E-2,-2.289780467E0,1.478324636E0,2.726372542E0
1.538337583E0,-6.966029204E-2,-2.178861417E0,1.608227549E0,2.709000827E0
1.548336583E0,-5.729467347E-2,-2.070703423E0,1.514294953E0,2.565966591E0
1.558336583E0,-5.735220642E-1,-2.089795459E0,1.100875171E0,2.430658092E0
1.568336583E0,-9.321016505E-1,-1.843500211E0,5.979239935E-1,2.150539378E0
1.578335583E0,-1.075786596E0,-2.103105476E0,-1.706129819E-1,2.368433709E0
1.588335583E0,-1.005210630E0,-2.415591352E0,-5.539763206E-1,2.674400821E0
1.598335583E0,-6.975779437E-1,-2.647746424E0,-5.277047807E-1,2.788484974E0
1.608334583E0,-2.808181597E-1,-2.752211025E0,-5.344512981E-1,2.817651958E0
1.618334583E0,6.970473088E-2,-2.789464221E0,-6.880167228E-1,2.873906122E0
1.628334583E0,1.577947889E-1,-2.612098874E0,-1.153659741E0,2.859875963E0
1.638333583E0,2.032514088E-2,-2.519585105E0,-1.890483173E0,3.150023626E0
1.648333583E0,4.683912098E-3,-2.631039175E0,-2.451082050E0,3.595857658E0
1.658333583E0,1.283572009E-1,-2.501700519E0,-2.658180488E0,3.652520303E0
1.668332583E0,-6.034246154E-2,-2.533190699E0,-3.057029008E0,3.970657715E0
1.678332583E0,-8.964329772E-2,-2.650396967E0,-3.632041272E0,4.497150632E0
1.688332583E0,-1.391081840E-1,-2.600112959E0,-4.172097126E0,4.917960240E0
1.698331583E0,-1.636596192E-1,-2.634746310E0,-4.393839916E0,5.125865956E0
1.708331583E0,-2.845003706E-1,-2.486677560E0,-4.323904878E0,4.996064365E0
1.718330583E0,-5.836059165E-1,-2.297886754E0,-4.319702484E0,4.927545936E0
1.728330583E0,-7.218069050E-1,-2.246351734E0,-4.331014507E0,4.932016625E0
1.738330583E0,-8.788023064E-1,-2.047650483E0,-4.280553621E0,4.825795820E0
1.748329583E0,-1.184314354E0,-1.871870901E0,-4.533060951E0,5.045308984E0
1.758329583E0,-1.520299020E0,-1.925381110E0,-5.032930647E0,5.598999234E0
1.768329583E0,-1.672721899E0,-1.885784351E0,-5.207815604E0,5.785803707E0
1.778328583E0,-1.432909166E0,-1.989037993E0,-5.085127571E0,5.645176988E0
1.788328583E0,-7.522251441E-1,-2.084828249E0,-4.610895578E0,5.115927044E0
1.798328583E0,-1.587016189E-1,-2.027622015E0,-4.366715267E0,4.817119416E0
1.808327583E0,1.990551545E-1,-2.063412237E0,-4.617039832E0,5.061062124E0
1.818327583E0,4.178782833E-1,-2.000537127E0,-4.948919606E0,5.354304467E0
1.828327583E0,2.492036533E-1,-1.689428417E0,-5.236605540E0,5.508022188E0
1.838326583E0,-9.832400098E-2,-1.558227423E0,-5.548342826E0,5.763839729E0
1.848326583E0,-5.279902710E-1,-1.419344941E0,-5.530007712E0,5.733611347E0
1.858326583E0,-1.196157743E0,-1.217698447E0,-5.490496321E0,5.749707185E0
1.868325583E0,-1.895617906E0,-1.186851461E0,-5.333678675E0,5.783607166E0
1.878325583E0,-2.198002570E0,-1.084463207E0,-4.860127298E0,5.443171235E0
1.888325583E0,-2.170597401E0,-1.016403370E0,-4.548523328E0,5.141364931E0
1.898324583E0,-1.712808947E0,-1.167030569E0,-4.754181013E0,5.186319691E0
1.908324583E0,-1.005563071E0,-1.410954187E0,-5.207923193E0,5.488571107E0
1.918324583E0,-6.407184492E-1,-1.427807032E0,-5.667698531E0,5.879792487E0
1.928323583E0,-3.874468879E-1,-1.282482673E0,-6.173283294E0,6.316985320E0
1.938323583E0,-4.112010553E-2,-1.157668008E0,-6.685883548E0,6.785493710E0
1.948323583E0,2.066755383E-1,-1.025773534E0,-6.888481384E0,6.967503276E0
1.958322583E0,1.084765215E-1,-8.675736058E-1,-6.840286878E0,6.895939073E0
1.968322583E0,-2.047993129E-1,-7.585791671E-1,-6.475398987E0,6.522896377E0
1.978322583E0,-4.736689067E-1,-6.526106626E-1,-5.867526541E0,5.922679344E0
1.988321583E0,-8.596088210E-1,-6.191219044E-1,-5.136378416E0,5.244484960E0
1.998321583E0,-1.261620538E0,-5.861827844E-1,-4.599330955E0,4.805116218E0
2.008320583E0,-1.640422026E0,-4.919870639E-1,-4.342279753E0,4.667807745E0
2.018320583E0,-2.092836303E0,-5.504229677E-1,-4.072889757E0,4.612088487E0
2.028320583E0,-2.539699819E0,-7.012679753E-1,-3.880594130E0,4.690507728E0
2.038319583E0,-2.789574148E0,-1.068198591E0,-3.921855592E0,4.929880673E0
2.048319583E0,-2.399223387E0,-1.578944985E0,-3.979866403E0,4.908021670E0
2.058319583E0,-1.499608501E0,-2.201954411E0,-4.216428961E0,4.987554718E0
2.068318583E0,-4.532855129E-1,-2.842071035E0,-4.764694891E0,5.566430897E0
2.078318583E0,8.021552494E-1,-3.154374332E0,-5.056081527E0,6.013109918E0
2.088318583E0,1.894058307E0,-3.313870587E0,-4.945277960E0,6.246996818E0
2.098317583E0,2.126409992E0,-3.348193743E0,-4.465358965E0,5.972558202E0
2.108317583E0,1.238538508E0,-2.795347104E0,-4.163742625E0,5.165723155E0
2.118317583E0,-1.119873360E-2,-2.234014986E0,-4.304076970E0,4.849332627E0
2.128316583E0,-1.240657101E0,-2.021332165E0,-4.652119617E0,5.221803395E0
2.138316583E0,-2.439889895E0,-2.005137717E0,-4.424937748E0,5.436332774E0
2.148316583E0,-2.521743897E0,-2.168532603E0,-3.259888800E0,4.657102202E0
2.158315583E0,-1.392734848E0,-2.508484459E0,-1.898305578E0,3.440315204E0
2.168315583E0,1.523980281E-1,-2.879482690E0,-7.411263978E-1,2.977232618E0
2.178315583E0,1.302539354E0,-2.665114117E0,5.461182475E-2,2.966888012E0
2.188314583E0,9.946795025E-1,-2.192855558E0,-2.004185790E-1,2.416230622E0
2.198314583E0,-3.583076176E-1,-1.744167419E0,-1.815804289E0,2.543157398E0
2.208314583E0,-1.566953223E0,-1.312325692E0,-3.256288669E0,3.844601022E0
2.218313583E0,-2.133809936E0,-7.362239461E-1,-3.850544119E0,4.463391150E0
2.228313583E0,-1.940589280E0,-8.779968524E-1,-3.550382566E0,4.140287622E0
2.238313583E0,-1.060190683E0,-1.631602086E0,-2.228772081E0,2.958640674E0
2.248312583E0,4.615140072E-1,-2.036041421E0,-5.400073224E-1,2.156401575E0
2.258312583E0,1.861545449E0,-2.255836357E0,6.203170753E-1,2.989806415E0
2.268312583E0,1.402682423E0,-2.442155691E0,1.262429062E0,3.086319740E0
2.278311500E0,-1.666363088E-1,-2.096091741E0,1.666081654E0,2.682759088E0
2.288311500E0,-1.634472630E0,-1.639185632E0,1.987793705E0,3.051188970E0
2.298311500E0,-2.866524676E0,-1.460725394E0,2.366479272E0,3.993858603E0
2.308310500E0,-3.272053347E0,-8.792006479E-1,2.683980158E0,4.322392436E0
2.318310500E0,-2.962459066E0,-1.113923818E0,2.665635104E0,4.137946410E0
2.328309500E0,-1.910127771E0,-1.816810595E0,2.884135028E0,3.907380670E0
2.338309500E0,-6.204716245E-2,-2.366558355E0,3.472958999E0,4.203081311E0
2.348309500E0,1.453228387E0,-2.893932037E0,4.267573972E0,5.357135707E0
2.358308500E0,2.345838893E0,-2.810552789E0,5.105394021E0,6.282293785E0
2.368308500E0,1.979879791E0,-2.153005176E0,5.963392811E0,6.642093728E0
2.378308500E0,5.866673359E-1,-1.635752001E0,6.589785728E0,6.815067066E0
2.388307500E0,-5.387525830E-2,-1.191193019E0,7.429842921E0,7.524919215E0
2.398307500E0,-4.216464848E-1,-9.745335057E-1,7.960498207E0,8.031004484E0
2.408307500E0,-3.824881933E-1,-1.057447024E0,8.510995435E0,8.584959797E0
2.418306500E0,1.116071208E-1,-9.328453432E-1,9.351952515E0,9.399025078E0
2.428306500E0,4.165578358E-1,-7.734914674E-1,1.039697157E1,1.043402259E1
2.438306500E0,7.642443151E-1,-6.294489643E-1,1.136460741E1,1.140765432E1
2.448305500E0,1.022922870E0,-4.562079513E-1,1.204691550E1,1.209887060E1
2.458305500E0,1.067489836E0,-1.832216254E-1,1.248840484E1,1.253528460E1
2.468305500E0,8.642435434E-1,-5.828299910E-2,1.274683423E1,1.277623171E1
2.478304500E0,6.533262887E-1,1.002519742E-1,1.305488660E1,1.307160854E1
2.488304500E0,3.716719772E-1,8.698464185E-2,1.346003082E1,1.346544229E1
2.498304500E0,3.162476087E-1,1.621783733E-2,1.371247733E1,1.371613321E1
2.508303500E0,1.082212906E-1,-4.851493299E-2,1.356616246E1,1.356668085E1
2.518303500E0,-4.675641943E-1,-2.775629416E-2,1.301151078E1,1.301993854E1
2.528303500E0,-1.019288679E0,4.515746176E-2,1.223774991E1,1.228020812E1
2.538302500E0,-1.474931205E0,4.969563201E-2,1.148166399E1,1.157611764E1
2.548302500E0,-1.547873612E0,1.630013689E-2,1.071280776E1,1.082406709E1
2.558302500E0,-1.281304020E0,3.241082400E-2,9.881642425E0,9.964419073E0
2.568301500E0,-1.206931823E0,2.004425526E-3,8.932246976E0,9.013419134E0
2.578301500E0,-1.220441522E0,-6.056692153E-2,7.874072267E0,7.968322278E0
2.588301500E0,-1.223103175E0,-1.651176225E-1,6.915580305E0,7.024848479E0
2.598300500E0,-1.165802727E0,-2.348187719E-1,6.245747253E0,6.357955222E0
2.608300500E0,-1.199817808E0,-3.311995970E-1,5.623703495E0,5.759800079E0
2.618300500E0,-1.272747936E0,-5.276609997E-1,5.090925670E0,5.274072205E0
2.628299500E0,-1.307645727E0,-7.838183811E-1,4.674299861E0,4.916643956E0
2.638299500E0,-1.074712901E0,-1.084286255E0,4.263144706E0,4.528254331E0
2.648299500E0,-7.867097562E-1,-1.335999168E0,3.739157000E0,4.047851416E0
2.658298500E0,-7.327196366E-1,-1.658973487E0,3.221501829E0,3.696910214E0
2.668298500E0,-7.572172044E-1,-1.854909883E0,2.754035064E0,3.405697829E0
2.678298500E0,-9.409787471E-1,-2.066628790E0,2.285874234E0,3.222051610E0
2.688297500E0,-1.109012888E0,-2.212195809E0,1.795294011E0,3.057253746E0
2.698297500E0,-1.212320032E0,-2.380407632E0,1.452053096E0,3.040479986E0
2.708297500E0,-1.186559685E0,-2.551069438E0,1.116117108E0,3.026812938E0
2.718296500E0,-1.122026889E0,-2.755976047E0,6.030572641E-1,3.036120284E0
2.728296500E0,-1.017483059E0,-2.843309768E0,1.054586273E-1,3.021721981E0
2.738296500E0,-8.328532047E-1,-2.771986601E0,-4.007868719E-1,2.922017161E0
2.748295500E0,-5.662798125E-1,-2.783481642E0,-9.139578134E-1,2.983917184E0
2.758295500E0,-2.861709201E-1,-2.826132987E0,-1.357952101E0,3.148484614E0
2.768294500E0,-2.052724989E-1,-2.981343526E0,-1.850772977E0,3.515096959E0
2.778294500E0,-1.134959176E-1,-3.013473976E0,-2.323521532E0,3.806922515E0
2.788294500E0,5.515824705E-3,-2.859029422E0,-2.574497477E0,3.847351936E0
2.798293500E0,1.494057886E-1,-2.533342142E0,-2.570645331E0,3.612251641E0
2.808293500E0,5.005957733E-1,-2.432130640E0,-2.374950133E0,3.436021494E0
2.818293500E0,1.102102210E0,-2.360667724E0,-1.966068376E0,3.263863698E0
2.828292500E0,1.242867202E0,-2.408541217E0,-1.862827597E0,3.288756047E0
2.838292500E0,9.315642913E-1,-2.508971824E0,-2.298881950E0,3.528117042E0
2.848292500E0,2.862407944E-1,-2.281832347E0,-2.724368631E0,3.565231702E0
2.858291500E0,-3.650713478E-1,-2.185766686E0,-3.075616137E0,3.790813596E0
2.868291500E0,-1.156796626E0,-2.077608107E0,-3.344152440E0,4.103411925E0
2.878291500E0,-1.996248925E0,-2.162104174E0,-3.409870466E0,4.504100446E0
2.888290500E0,-2.616831611E0,-2.280909071E0,-3.428977413E0,4.879368808E0
2.898290500E0,-2.981299379E0,-2.499932321E0,-3.511478702E0,5.241019965E0
2.908290500E0,-2.875095817E0,-2.840060178E0,-3.497319669E0,5.344470286E0
2.918289500E0,-2.543764511E0,-3.175231057E0,-3.544019626E0,5.395637615E0
2.928289500E0,-1.898350309E0,-3.336966797E0,-3.422747789E0,5.143372797E0
2.938289500E0,-1.192012360E0,-3.339129974E0,-3.448320587E0,4.945866690E0
2.948288500E0,-8.063206597E-1,-3.595209076E0,-3.852570764E0,5.330851977E0
2.958288500E0,-4.715829125E-1,-3.545104285E0,-4.086927752E0,5.430758077E0
2.968288500E0,-3.078331000E-1,-3.596760342E0,-4.348829219E0,5.651881258E0
2.978287500E0,-4.166375041E-1,-3.768989494E0,-4.690496648E0,6.031552654E0
2.988287500E0,-3.678182235E-1,-3.607316321E0,-4.754918931E0,5.979738734E0
2.998287500E0,-5.038886328E-1,-3.410638790E0,-4.894689605E0,5.987014869E0
3.008286500E0,-5.794535163E-1,-3.260960594E0,-5.255490877E0,6.212070084E0
3.018286500E0,-9.485177815E-1,-3.099569256E0,-5.497214187E0,6.381722289E0
3.028286500E0,-1.291156286E0,-2.931129684E0,-5.869491790E0,6.686519248E0
3.038285500E0,-1.275336645E0,-2.492614238E0,-5.859843884E0,6.494411416E0
3.048285500E0,-1.296406063E0,-2.187234630E0,-6.058912926E0,6.570775437E0
3.058285500E0,-1.469312907E0,-2.126040595E0,-6.382822945E0,6.886171489E0
3.068284500E0,-1.416518544E0,-2.079951671E0,-6.491198164E0,6.961923394E0
3.078284500E0,-1.146054268E0,-2.166344867E0,-6.612062450E0,7.051656565E0
3.088283500E0,-1.199664757E0,-2.070241785E0,-7.053325503E0,7.448120382E0
3.098283500E0,-1.037645136E0,-1.750154091E0,-7.399374835E0,7.674014250E0
3.108283500E0,-8.260232913E-1,-1.486641716E0,-7.684150025E0,7.870106713E0
3.118282500E0,-6.333024256E-1,-1.337451763E0,-7.825629255E0,7.964315564E0
3.128282500E0,-4.592819788E-1,-1.141419765E0,-7.740067533E0,7.837245972E0
3.138282500E0,-3.117663758E-1,-8.915846121E-1,-7.503655248E0,7.562867411E0
3.148281500E0,-1.622003004E-1,-8.249953508E-1,-7.384003674E0,7.431718276E0
3.158281500E0,-3.292135902E-1,-9.276134008E-1,-7.591403244E0,7.654949472E0
3.168281500E0,-8.555929533E-1,-8.557750940E-1,-7.817115709E0,7.910226818E0
3.178280500E0,-1.256934580E0,-6.950292885E-1,-7.931645122E0,8.060641698E0
