Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
29.48743696,-7.991180887,-0.2838840741,-3.442216094,8.705654126
29.49743696,-8.371087351,0.1399495983,-3.779721474,9.185912244
29.50743696,-8.189371676,0.7115000179,-3.612786976,8.979101874
29.51743596,-8.015129912,0.9597643161,-3.177191044,8.675136771
29.52743596,-7.853856688,0.9502779396,-2.391738074,8.264774894
29.53743596,-7.639334625,0.9489734258,-1.305534736,7.807970608
29.54743596,-7.417755557,1.010630853,-0.3597639763,7.494925106
29.55743496,-7.962243016,0.8382517196,0.5602410275,8.025823933
29.56743496,-8.103281951,0.6291337994,1.366040554,8.241665761
29.57743496,-7.442985123,0.5543772934,1.464713488,7.605967876
29.58743396,-6.896893188,0.4458909778,1.044595721,6.989787882
29.59743396,-6.460995541,0.3458011177,0.547469539,6.493363126
29.60743396,-5.800361913,0.1778861873,0.3207969618,5.811949115
29.61743396,-5.712579419,0.171259684,0.2815557128,5.722077168
29.62743296,-6.216057431,0.1340294386,0.1547962636,6.219428893
29.63743296,-6.762957451,-0.05519493833,-0.4388662791,6.777406848
29.64743296,-6.792629147,-0.2061584982,-0.9906458008,6.867582629
29.65743196,-6.149196274,-0.1351662835,-1.038999935,6.237820582
29.66743196,-5.508013995,-0.03372907877,-1.111455708,5.61913602
29.67743196,-5.134728917,-0.5985633865,-0.9552064115,5.257008509
29.68743196,-4.564301747,-1.161713111,-0.1072572309,4.711043611
29.69743096,-3.797816852,-1.519036314,0.3557948864,4.105785451
29.70743096,-3.400712849,-1.941396488,0.05745824933,3.916269865
29.71743096,-3.179460933,-2.328274588,-1.015795845,4.06960386
29.72742996,-2.484819023,-2.519718422,-2.152914398,4.1422635
29.73742996,-1.769817984,-2.744928903,-2.52808111,4.130143396
29.74742996,-0.4577046923,-2.804605293,-2.237568632,3.616907217
29.75742996,0.8777011295,-2.84807291,-2.006175013,3.592578009
29.76742896,0.9933043836,-3.47349782,-1.11764791,3.781663332
29.77742896,1.143807037,-3.569723986,0.7182222694,3.816682736
29.78742896,0.8147979529,-3.17842276,2.856638496,4.350477036
29.79742796,0.2039897659,-2.661325998,4.49264909,5.22572136
29.80742796,0.6963645002,-2.098781314,5.225069568,5.673725276
29.81742796,1.099002308,-1.734372748,4.809016201,5.22900485
29.82742696,1.360117909,-1.836824591,3.45520276,4.142737189
29.83742696,2.638148512,-1.989564242,2.197672495,3.96836967
29.84742696,3.466175937,-2.172610013,1.271797471,4.283932621
29.85742696,3.432851193,-2.402322996,0.6064340311,4.233601933
29.86742596,3.164541762,-2.711032301,0.6349351144,4.215111304
29.87742596,2.920750877,-2.313707127,1.448136047,3.997639849
29.88742596,2.448363972,-1.686404822,2.169249764,3.680229871
29.89742496,1.816107759,-1.572731295,2.547690332,3.50177914
29.90742496,2.403951007,-1.677319418,2.725670806,4.002706861
29.91742496,3.45383685,-1.807064017,2.633856071,4.704430587
29.92742496,3.958953837,-2.008195372,2.132014695,4.92459651
29.93742396,4.057580869,-2.173467507,1.648410784,4.889292549
29.94742396,3.7867241,-2.415801705,1.517912625,4.741248361
29.95742396,4.476709287,-2.204320779,1.241144612,5.142022568
29.96742296,5.190114913,-1.944632922,0.5264318419,5.567406981
29.97742296,5.560134321,-1.926349702,-0.3989368129,5.897886691
29.98742296,5.731110415,-1.910875045,-0.7847051114,6.092030215
29.99742296,5.637857265,-1.599217282,-0.1833341843,5.863151191
30.00742196,5.296165863,-1.481397056,0.5272978145,5.524667689
30.01742196,5.056283256,-1.448510853,1.046707735,5.362814666
30.02742196,5.194914308,-1.316592552,1.116541032,5.474231863
30.03742096,5.416878707,-0.9926000865,0.6701809609,5.547699737
30.04742096,5.427762129,-0.5281640795,0.1039155471,5.454388826
30.05742096,5.339220666,-0.3260905923,-0.1267752367,5.350671393
30.06742096,5.850350929,-0.4103415146,-0.07641960025,5.865221745
30.07741996,6.271297247,-0.5280389491,-0.1422726971,6.295096172
30.08741996,6.075162338,-0.6751924632,-0.01658445776,6.112590068
30.09741996,6.100212395,-0.69555393,0.3747825497,6.151166433
30.10741896,6.213912088,-0.7567593674,0.6585555267,6.294369194
30.11741896,6.397602952,-0.9182791981,0.5786808068,6.48902394
30.12741896,6.516593206,-1.278981799,0.4485241252,6.656046525
30.13741896,6.671529803,-1.612766304,0.6054440975,6.890347423
30.14741796,6.711196729,-1.882154545,0.7514227599,7.010513778
30.15741796,6.899031515,-2.034456241,0.7223591745,7.228931513
30.16741796,7.266544222,-2.118775283,0.7873585778,7.609980759
30.17741696,7.290643521,-2.295745796,1.132213324,7.726955333
30.18741696,7.389143377,-2.418403862,1.555833573,7.928980716
30.19741696,7.589981786,-2.696465133,2.09223901,8.322031711
30.20741696,7.806037574,-3.038361772,2.823895842,8.83969754
30.21741596,7.688519649,-3.127687932,3.438960364,8.984554222
30.22741596,7.677459056,-3.13655348,3.682127352,9.074106409
30.23741596,7.727950348,-3.144675263,3.577553408,9.077945113
30.24741496,7.560032347,-2.875408643,3.137742219,8.675683846
30.25741496,7.319220618,-2.828769204,2.407517955,8.207866249
30.26741496,7.258158145,-3.030576497,1.916962289,8.095677734
30.27741396,7.603656085,-3.189111763,1.685182169,8.41581004
30.28741396,7.747256684,-3.556936126,1.82299461,8.71751628
30.29741396,8.078040106,-3.936953103,2.488638132,9.324572453
30.30741425,8.423498284,-3.784248388,3.095027139,9.739355841
30.31741325,8.342946457,-3.919833333,2.959313849,9.681290585
30.32741325,7.664732006,-4.290345368,2.479487239,9.127049747
30.33741325,6.69172667,-4.323442656,2.02215136,8.219516917
30.34741225,6.292522055,-4.313258268,1.655761904,7.806508706
30.35741225,6.409852284,-3.832814485,1.040940042,7.540572216
