"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.726411034420641E9,"2024-09-15 17:37:14.421 UTC+03:00"
"PAUSE",5.988914120833215E1,1.726411094309508E9,"2024-09-15 17:38:14.310 UTC+03:00"
"START",5.988914120833215E1,1.726411099446794E9,"2024-09-15 17:38:19.447 UTC+03:00"
"PAUSE",6.325421574999928E1,1.726411102811853E9,"2024-09-15 17:38:22.812 UTC+03:00"
